employee_id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Otha;Lesch;Vicky13@gmail.com;yippee intone truthful;2023-12-26T05:52:44;29954;6052
2;Cecile;Wyman;Norbert72@gmail.com;circa yet hence;2023-12-25T16:12:10;6872;16963
3;Jayde;Rosenbaum;Tracy81@hotmail.com;referee intrigue although;2023-12-25T23:58:20;21471;4156
4;Sabrina;Keebler;Santos_Thompson55@gmail.com;misjudge;2023-12-25T09:36:31;15342;18246
5;Tanner;Koepp;Taylor2@hotmail.com;for;2023-12-26T04:09:13;1109;22930
6;Armand;Feest;Ervin.Reinger@hotmail.com;spiteful;2023-12-25T13:06:18;29438;11668
7;Erick;Schmeler;Ian79@yahoo.com;roughly task bank;2023-12-25T17:35:45;20998;23870
8;Jimmie;Walter;Bella7@gmail.com;unimpressively scientist;2023-12-25T22:37:11;21195;23939
9;Lindsey;Altenwerth-Wuckert;Lowell.Hamill@yahoo.com;till owlishly who;2023-12-26T04:05:41;8748;16103
10;Reese;Ledner;Vita.Yundt29@hotmail.com;underneath backpack;2023-12-26T06:43:52;5170;16938
